id,date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
2.00E+13,2003.05.20,12:17:44 AM,39.04,40.38,turkey,bingol,baliklicay,west,0.1,10,4.1,4.1,0,,0,0
2.01E+13,2007.08.01,12:03:08 AM,40.79,30.09,turkey,kocaeli,bayraktar_izmit,west,0.1,5.2,4,3.8,4,,0,0
1.98E+13,1978.05.07,12:41:37 AM,38.58,27.61,turkey,manisa,hamzabeyli,south_west,0.1,0,3.7,0,0,,0,3.7
2.00E+13,1997.03.22,12:31:45 AM,39.47,36.44,turkey,sivas,kahvepinar_sarkisla,south_west,0.1,10,3.5,3.5,0,,0,0
2.00E+13,2000.04.02,12:57:38 AM,40.8,30.24,turkey,sakarya,meseli_serdivan,south_west,0.1,7,4.3,4.3,0,,0,0
2.01E+13,2005.01.21,12:04:03 AM,37.11,27.75,turkey,mugla,demirciler_milas,south_west,0.1,32.8,3.5,3.5,0,,0,0
2.01E+13,2012.06.24,12:07:22 AM,38.75,43.61,turkey,van,ilikaynak,south_west,0.1,9.4,4.5,0,4.5,,0,0
1.99E+13,1987.12.31,12:49:54 AM,39.43,27.98,turkey,balikesir,dikkonak_bigadic,south_east,0.1,26,3.8,3.8,0,,0,0
2.00E+13,2000.02.07,12:11:45 AM,40.05,34.07,turkey,kirikkale,kocabas_delice,south_east,0.1,1,3.8,3.8,0,,0,0
2.01E+13,2011.10.28,12:47:56 AM,38.76,43.54,turkey,van,degirmenozu,south_east,0.1,3.1,4.3,0,4.2,,0,4.3
2.01E+13,2013.05.01,12:47:56 AM,37.31,37.11,turkey,kahramanmaras,ordekdede_pazarcik,south_east,0.1,9.5,3.5,0,3.5,,0,0
1.99E+13,1989.04.27,12:45:19 AM,37.04,28.04,turkey,mugla,kultak_milas,south,0.1,9,3.6,3.6,0,,0,0
2.00E+13,1999.11.26,12:42:20 AM,37.77,38.54,turkey,adiyaman,zeytin_kahta,south,0.1,13,3.6,3.6,0,,0,0
2.00E+13,1999.12.20,12:41:56 AM,40.86,30.99,turkey,duzce,adakoy_gumusova,south,0.1,9,3.6,3.6,0,,0,0
1.98E+13,1984.02.02,12:10:29 AM,37.21,30.81,turkey,antalya,kayadibi_aksu,north_west,0.1,15,3.7,0,0,,0,3.7
2.01E+13,2011.05.22,12:49:49 AM,39.13,29.04,turkey,kutahya,kapikaya_simav,north_west,0.1,7.2,3.9,0,3.9,,0,0
1.97E+13,1971.05.20,12:08:46 AM,37.72,30,turkey,burdur,kavacik,north_east,0.1,5,3.5,3.5,0,,0,0
1.99E+13,1985.01.28,12:20:56 AM,38.85,29.06,turkey,manisa,karakozan_selendi,north_east,0.1,4,3.7,0,0,,0,3.7
2.00E+13,1997.05.31,12:59:03 AM,39.89,39.79,turkey,erzincan,baskoy_cayirli,north_east,0.1,26,3.5,3.5,0,,0,0
2.01E+13,2005.07.24,12:36:10 AM,36.96,36.03,turkey,hatay,turunclu_erzin,north_east,0.1,22,4.1,0,4.1,,0,0
1.97E+13,1966.08.19,12:03:55 AM,39.21,41.4,turkey,mus,tasci_varto,east,0.1,14,5,4.7,4.7,5,4.7,4.7
1.99E+13,1990.07.05,12:43:04 AM,37.87,29.18,turkey,denizli,eldenizli,east,0.1,5,3.7,3.7,0,,0,0
1.99E+13,1990.07.05,12:47:37 AM,37.87,29.18,turkey,denizli,eldenizli,east,0.1,6,3.7,3.7,0,,0,0
1.99E+13,1985.01.07,12:37:08 AM,39.24,27.8,turkey,manisa,bademli_kirkagac,west,0.2,5,3.7,0,0,,0,3.7
1.99E+13,1988.06.24,12:35:29 AM,39.51,26.19,turkey,canakkale,camkalabak_ayvacik,west,0.2,14,3.5,0,0,,0,3.5
2.00E+13,1999.11.16,12:49:39 AM,40.7,31.63,turkey,bolu,ilicakinik,west,0.2,4,4,4,0,,0,0
2.01E+13,2006.06.09,12:53:05 AM,39.67,38.99,turkey,erzincan,tandirbasi_kemah,west,0.2,3.3,3.7,3.7,0,,0,0
1.97E+13,1966.08.19,12:41:18 AM,39.13,41.48,turkey,mus,yedikavak_varto,south_west,0.2,50,5,4.7,4.7,5,4.7,4.7
1.97E+13,1966.12.30,12:57:09 AM,40.74,30.74,turkey,sakarya,suleymaniye_hendek,south_west,0.2,31,4.5,4.3,4.3,4.5,4.2,4.2
1.97E+13,1967.05.22,12:46:02 AM,36.59,29.35,turkey,mugla,cobanlar_fethiye,south_west,0.2,54,4.9,4.7,4.6,4.9,4.6,4.6
1.98E+13,1975.05.30,12:22:42 AM,38.75,27.6,turkey,manisa,hacirahmanli_saruhanli,south_west,0.2,9,4.2,0,4.2,,0,0
1.98E+13,1977.08.04,12:27:34 AM,39.06,29.48,turkey,kutahya,guzungulu_gediz,south_west,0.2,0,3.7,0,0,,0,3.7
1.98E+13,1984.10.14,12:20:04 AM,38.75,27.6,turkey,manisa,hacirahmanli_saruhanli,south_west,0.2,10,3.6,0,0,,0,3.6
2.00E+13,1996.06.30,12:22:53 AM,40.89,36.63,turkey,tokat,beykaya_erbaa,south_west,0.2,31,3.5,3.5,0,,0,0
2.00E+13,1997.01.22,12:36:51 AM,36.25,36.09,turkey,hatay,kesecik,south_west,0.2,18,3.6,3.6,0,,0,0
2.00E+13,1999.11.13,12:59:21 AM,40.9,31.09,turkey,duzce,yenivakif_cilimli,south_west,0.2,2,4.2,4.2,0,,0,0
2.00E+13,2000.10.04,12:58:53 AM,37.9,28.95,turkey,denizli,duacili_saraykoy,south_west,0.2,8,3.7,3.7,0,,0,0
2.01E+13,2005.01.27,12:23:23 AM,37.78,44.23,turkey,van,ogulveren_baskale,south_west,0.2,9,4.1,4.1,0,,0,0
2.01E+13,2008.02.24,12:48:41 AM,37.31,38.6,turkey,sanliurfa,kesmetas_bozova,south_west,0.2,9.5,3.6,3.6,0,,0,0
2.01E+13,2008.03.29,12:12:30 AM,40.61,34.76,turkey,corum,erdek,south_west,0.2,8.5,4.5,0,4.5,,0,0
2.01E+13,2012.04.11,12:49:32 AM,39.49,27.98,turkey,balikesir,ciftlikkoy,south_west,0.2,7.2,3.9,0,3.9,,0,0
2.01E+13,2012.05.04,12:38:14 AM,40.31,27,turkey,canakkale,disbudak_lapseki,south_west,0.2,12,4.3,0,4.3,,0,0
1.97E+13,1974.01.26,12:49:20 AM,37.25,29.6,turkey,burdur,kucukalan_cavdir,south_east,0.2,34,4.2,4,4,4.2,3.8,4.1
1.97E+13,1974.04.03,12:37:29 AM,38.34,27.4,turkey,izmir,visneli_kemalpasa,south_east,0.2,5,3.8,3.8,0,,0,0
1.98E+13,1976.05.21,12:37:02 AM,39.28,29.16,turkey,kutahya,goncek_emet,south_east,0.2,24,4.5,0,4.4,,0,4.5
1.98E+13,1978.02.02,12:35:45 AM,40.42,30.15,turkey,sakarya,tasoluk_geyve,south_east,0.2,0,3.5,0,0,,0,3.5
1.98E+13,1979.01.19,12:36:59 AM,39.91,39.6,turkey,gumushane,aglik_kelkit,south_east,0.2,11,4.9,0,0,,0,4.9
1.99E+13,1994.01.09,12:48:32 AM,38.88,27.89,turkey,manisa,kizlaralani_akhisar,south_east,0.2,4,3.7,3.7,0,,0,0
2.00E+13,1996.02.18,12:03:13 AM,37.17,27.64,turkey,mugla,dorttepe_milas,south_east,0.2,5,3.5,3.5,0,,0,0
2.00E+13,1996.08.20,12:32:14 AM,40.68,35.34,turkey,amasya,balgoze_merzifon,south_east,0.2,2,4.1,4.1,0,,0,0
2.00E+13,1997.05.29,12:46:11 AM,38.23,41.48,turkey,batman,tosunpinar_kozluk,south_east,0.2,0,3.5,3.5,0,,0,0
2.00E+13,1999.04.30,12:59:49 AM,40.73,33.02,turkey,cankiri,guzelyurt_cerkes,south_east,0.2,1,3.7,3.7,0,,0,0
2.00E+13,1999.11.11,12:55:25 AM,40.88,30.3,turkey,sakarya,nasuhlar_adapazari,south_east,0.2,11,4.4,4.4,0,,0,0
2.00E+13,2001.04.11,12:53:25 AM,37.19,36.51,turkey,osmaniye,ariklikas_bahce,south_east,0.2,14,3.8,3.8,0,,0,0
2.00E+13,2002.01.23,12:22:11 AM,38.64,27.82,turkey,manisa,buyukbelen_saruhanli,south_east,0.2,8,3.9,3.9,0,,0,0
2.01E+13,2007.02.09,12:02:12 AM,38.43,39.06,turkey,elazig,gozeli_sivrice,south_east,0.2,5.3,3.5,3.5,0,,0,0
